tracks/artist,tracks/album,tracks/track
Costera,Camino A Marte,Vuelta Atrás
balloon,Corridor,mabel(self cover)
Childish Gambino,Because The Internet,"III. Telegraph Ave. (""Oakland"" by Lloyd)"
Panic Is Perfect,Behind Your Eyelids,Go Go Go
Camila,Elypse,De Venus
Mando,Me Despido,Me Despido - Remix
Luis Fonsi,Despacito,Despacito - Versión Salsa
Irmao,Buzón De Voz,Buzón De Voz
Robert de Boron,Nostalgic,Jenny
El Roockie,Hoy que no Estas,Hoy que no Estas
Jade,La Voz Más Dulce del Anime y Comic,Olvida la Amargura (Ranma 1/2) - De Película
Luis Enrique,Ciclos,Yo No Sé Mañana
Little Jesus,Carretera Internacional,Carretera Internacional
Natalia Lacunza,olvídate de mí,olvídate de mí
New Politics,Vikings,Girl Crush
PelleK,Evolution of Anime Openings,"Brand New World (From ""One Piece"")"
FLETCHER,War Paint (Young Bombs Remix),War Paint (Young Bombs Remix)
Kobasolo,TOKYO GENOCIDE CITY,TOKYO GENOCIDE CITY
Liz Moriondo,Throw Ya Back,Throw Ya Back
NateWantsToBattle,Flyers,Flyers
Camilo,No Te Vayas,No Te Vayas
Cheat Codes,Sex,Sex
Becky G,Mayores,Mayores - Urban Tropical
BRADIO,POWER OF LIFE,腰振る夜は君のせい
Los Fabulosos Cadillacs,Vasos Vacíos,Matador - Remasterizado 2008
Paulina Rubio,Pau Factor,Ni Una Sola Palabra
Diego Boneta,The Warrior,The Warrior
Nordex,99.9 (Mob Psycho 100 II),99.9 (Mob Psycho 100 II)
Cloudjumper,You Say Run (Orchestral Arrangement),You Say Run (Orchestral Arrangement)
Los Mesoneros,Pangea,Te Lo Advertí
The.madpix.project,Liquid Blue,Liquid Blue
Zoé,Rock Millennial,Fin De Semana
Echosmith,Cool Kids,Cool Kids - RAC Mix
Ed Sheeran,Shape of You,Shape of You
Fifth Harmony,Work from Home,Work from Home
Reyno,Viaje Por Lo Eterno,Dos Mundos
Camila,Elypse,Tu Tiempo Ya Se Fue
Los Rumberos,Vuelve a la Vida,Empezar de Cero
Agapornis,Dale Tu Amor (feat. El Polaco),Dale Tu Amor (feat. El Polaco)
Gabriela Vega,Shaman King,Northern Lights
Shamanes Crew,Reden-Zion,Se Libre (feat. Movimiento Original)
Rigeo,La Sin Nombre,La Sin Nombre - Radio Edit
Kalimba,Cena para Desayunar,Estrellas Rotas
Reik,Reik,Noviembre Sin Ti
Jason Richards,I'm Fading Away,Slowly Drifting
Zoé,Prográmaton Revisitado,Andrómeda - Poolside Remix
RADWIMPS,Your Name.,Sparkle - English ver.
Daughtry,Baptized (Deluxe Version),I'll Fight
Mau y Ricky,Mi Mala,Mi Mala - Remix
Childish Gambino,Kauai,Sober
Mon Laferte,Mon Laferte,El Diablo
Dua Lipa,Dua Lipa,IDGAF
Nicky Jam,Hasta el Amanecer,Hasta el Amanecer - The Remix
Charly Black,Gyal You A Party Animal,Gyal You A Party Animal - Remix
Charlie Puth,Nine Track Mind,We Don't Talk Anymore (feat. Selena Gomez)
Río Roma,"Te Quiero Mucho, Mucho","Te Quiero Mucho, Mucho"
Mon Laferte,Mon Laferte,Tu Falta De Querer
LunchMoney Lewis,Whip It! (feat. Chloe Angelides),Whip It! (feat. Chloe Angelides)
Sanalejo,Sufriendo por Amor,Sufriendo por Amor
Los Amigos Invisibles,Repeat After Me,La Que Me Gusta
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved
Los Cadillac's,Ponte Pa´ la Foto (feat. Alexis Y Fido),Ponte Pa´ la Foto (feat. Alexis Y Fido)
Britt Nicole,THE REMIXES,Ready Or Not - Phenomenon Remix By Soul Glow Activatur
Manu Manzo,Como Soy,El Sueño Más Urgente
V-One,Aquí Me Quedo,Aquí Me Quedo
Tan Bionica,Hola Mundo,Un Poco Perdido
Love of Lesbian,Cuentos Chinos para Niños del Japón,La Niña Imantada
GIRLFRIEND,HOUSE,sky & blue
Virginia To Vegas,We Are Stars,We Are Stars
Luis Fonsi,Despacito Feat. Justin Bieber,Despacito - Remix
AmaLee,Nostalgia VII,"Ashita Wo Narase (From ""Fairy Tail"")"
Guaco,Presente Continuo,Baja
Axel,Desequilibrio,Mi Corazón Es Tuyo
Salta La Banca,Copla,Ellos
ASIAN KUNG-FU GENERATION,Sol-Fa,Rewrite - 2016 Rerecorded
Mat Kearney,JUST KIDS,Heartbeat
Carlos Sadness,Groenlandia & Houdini,Groenlandia
Daichi Miura,BEST,IT'S THE RIGHT TIME
BRADIO,FREEDOM,All I Need Is You
Mägo de Oz,"Hechizos, pócimas y brujería",H2Oz
Nano Stern,Los Espejos,Azul
Ballyhoo!,Daydreams,Walk Away
AmaLee,Make My Story,Make My Story
The Covers Duo,Anime Openings 1,Sobakasu (Samurai X)
Mon Laferte,Mon Laferte,Amor Completo
Covi Quintana,Amor Amor,Amor Amor
Juan Ingaramo,Músico,Matemática
Joe Vasconcellos,El Vuelo,El Vuelo
Andrés Calamaro,Alta Suciedad,Flaca
Diego Torres,MTV Unplugged,Sueños (with Julieta Venegas) - MTV Unplugged
Hiroshi Kitadani,OVER THE TOP,OVER THE TOP
Gemeliers,Yo No Contaba Contigo,Yo No Contaba Contigo
Lil Silvio,Versatilidad & Vivencias (Deluxe Edition),Que Tengo Que Hacer
